case_type,status,text,aosp_composite,idealisation_score,distress_score,paradox_index,true_label,text_pred,fusion_pred,fusion_prob,fusion_model
fusion_caught_text_missed,Suicidal,"I feel like my lifes over, I am not smart and I just suck at everything. I am not strong enough. I keep failing",0.014166666666666668,0.0,0.0,0.0,1,0,1,0.5588683485984802,fusion_early_nn
fusion_caught_text_missed,Suicidal,Lately the only thing I have been looking forward to is going to sleep. I hate when I wake up. Let me live my life out in my sleep I hope to see the girl in my dreams again,0.008461538461538461,0.0,0.0,0.0,1,0,1,0.5016089677810669,fusion_early_nn
fusion_caught_text_missed,Personality disorder,"Dating apps even harder with AvPD Disclaimer: I dislike dating app culture in general. There's a hell of a lot more to a person than a few pictures and prompts.

\---

If I'm not attracted to someone then I won't swipe on them. If I am attracted to someone and there's even one th",0.008461538461538461,0.0,0.0,0.0,1,0,1,0.5016089677810669,fusion_early_nn
fusion_caught_text_missed,Stress,"But it happened. I literally had to take breathing exercise thingys because I felt like I was gonna pass out, my heart was racing. Now not all notifications scare me, like here, I won't really be too concerned. But still. I think the root of the problem is the sheer anonymity of ",0.005689655172413793,0.0,0.0,0.0,1,0,1,0.6344638466835022,fusion_early_nn
fusion_caught_text_missed,Depression,"Failure When I was in high school,  I always get praised by my parents and others since I am doing well in my studies. But now that I am in my 2nd yr of college, I am failing my courses and I am not learning. We are not financially stable, and my tuition fee is not a joke. I keep",0.005619834710743802,0.0,0.0,0.0,1,0,1,0.8183157444000244,fusion_early_nn
fusion_caught_text_missed,Depression,"Thinking that everything is useless because things will not get better for you, you do not deserve anything because you are not enough, you are not good looking, not talented, not appealing, not worthy and so on...so you stop doing everything and you just wait for the time to pas",0.005573770491803279,0.0,0.0,0.0,1,0,1,0.817936360836029,fusion_early_nn
fusion_caught_text_missed,Suicidal,"Met him at Warped and his music defined my youth. I hope wherever his spirit lingers, its somewhat at peace. It hurts to hear Shadow Of The Day, or anything else he made in public, but I am trying my best to revel in his talent. Anyone else miss a musician who left us early? I mi",0.005573770491803279,0.0,0.0,0.0,1,0,1,0.817936360836029,fusion_early_nn
fusion_caught_text_missed,Suicidal,"I have alienated all of my friends looking for support. they have all told me things like I have used them, and I am an emotional vampire. I just... I need help. I am on a waiting list for therapy.My best friend told me we should just be neighbors. How am I supposed to survive wa",0.004594594594594595,0.0,0.0,0.0,1,0,1,0.8097255229949951,fusion_early_nn
fusion_caught_text_missed,Anxiety,Because of my hypersalivation i think that i have water in my lungs please help I had experienced hypersalivation for two years now (thats why i think that i have cancer) but i noticed that i have a hard time breathing and i can breathe on the fullest... also my belly (stomach i ,0.004415584415584416,0.0,0.0,0.0,1,0,1,0.8081518411636353,fusion_early_nn
fusion_caught_text_missed,Depression,"i dont want meds my doctor is talking about a counsellor referral and meds (ssri’s). i dont want to take meds, im scared of the side effects and such, especially when stuff like weight gain and low libido are super common side effects. i know if i experience that i will become so",0.003655913978494624,0.0,0.0,0.0,1,0,1,0.8157057762145996,fusion_early_nn
fusion_caught_text_missed,Depression,"Its crazy how others do not understand that I am going to be like this forever. Someone once told me, Your depression is not you, its only a tiny part of you. But how come my depression has took over every single part of me that I genuinely do not remember who I am anymore. For t",0.003384615384615385,0.0,0.0,0.0,1,0,1,0.9111565351486206,fusion_early_nn
fusion_caught_text_missed,Depression,If I could get out of my body I would do it to kill it.I feel trapped here. I will actually exist in this fucking piece of flesh until the day I die. Might as well die now? I hate every single thing about me. Plastic surgery will not save me. I hate my hair. I hate my face. I hat,0.0033673469387755102,0.0,0.0,0.0,1,0,1,0.9136591553688049,fusion_early_nn
fusion_caught_text_missed,Depression,"Does anyone else have a problem where they just cannot stop putting themselves back into a depression? Like I just scored a job that will help me achieve my dreams, accepted into grad school, moved into a nice apartment right across from a beautiful lake. My love life is great, f",0.0029203539823008853,0.0,0.0,0.0,1,0,1,0.9584217071533203,fusion_early_nn
fusion_caught_text_missed,Personality disorder,"DAE feel like a monster, constantly I feel like part of the reason I go out of my way not to make friends or date is because I have to protect them from myself.
Like, I put myself in their shoes and think “I wouldn’t want to be friends with someone like me”, so I feel like I’m ke",0.002677165354330709,0.0,0.0,0.0,1,0,1,0.9181728363037109,fusion_early_nn
fusion_caught_text_missed,Depression,"I feel like I have been going at this for 6 years now. Day to day I just struggle to feel like this existence is worth the pain and effort. I just wonder if this is all there is? Just this life. Even when I am not bad necessarily, the good days are mediocre at best. that is just ",0.0021518987341772153,0.0,0.0,0.0,1,0,1,0.9651942849159241,fusion_early_nn
both_missed,Depression,"Because if I had done it, how could it be something impressive? I have never done anything impressive",0.03777777777777778,0.0,0.0,0.0,1,0,0,0.08460403978824615,fusion_early_nn
both_missed,Depression,"Some light amidst all the darkness These past few months have been the hardest of my life in terms of my depression, but today I graduated with a first class degree",0.03193548387096774,0.0,0.0,0.0,1,0,0,0.10918285697698593,fusion_early_nn
both_missed,Anxiety,"Then when will I be graduated, my juniors have already arrived. My heart is worried that it's still like this, my best friend has dropped out",0.025769230769230773,0.0,0.0,0.0,1,0,0,0.27591922879219055,fusion_early_nn
both_missed,Bipolar,"Victory Saturday, Goal Setting Sunday, and other topic threads. Hello everyone!

First off announcements:

/u/ssnakeggirl, /u/Reaper_of_Souls, and I will be taking over the Small Victory Saturday and Goal Setting Sunday posts, as well as adding a ""Wellness Wednesday"" with the goa",0.022000000000000002,0.0,0.0,0.0,1,0,0,0.23674368858337402,fusion_early_nn
both_missed,Depression,I will never be grateful for a life I don't want to live. That's it,0.022000000000000002,0.0,0.0,0.0,1,0,0,0.06172729283571243,fusion_early_nn
